,Name,Link,Lyrics
10,Blue Jeans,https://www.vagalume.com.br/lana-del-rey/blue-jeans.html,"Blue jeans White shirt Walked into the room You know you made my eyes burn It was like, James Dean, for sure You're so fresh to death and sick as ca-cancer You were sorta punk rock, I grew up on hip hop But you fit me better than my favourite sweater And I know That love is mean, and love hurts But I still remember that day We met in december, oh baby! I will love you till the end of time I would wait a million years Promise you'll remember that you're mine Baby can you see through the tears? Love you more than those bitches before Say you'll remember Oh baby, say you'll remember I will love you till the end of time Big dreams Gangster Said you had to leave to start your life over I was like, ""no please, stay here"" We don't need no money we can make it all work But he headed out on sunday Said he'd come home monday I stayed up waitin' anticipatin' and pacin', but he was Chasing paper Caught up in the game that was the last I heard I will love you till the end of time I would wait a million of years Promise you'll remember that you're mine Baby can you see through the tears? Love you more, than those bitches before Say you'll remember Oh baby, say you'll remember I will love you until the end of time He went out every night And baby that's alright I told you that no matter what you did I'd be by your side 'Cause I'm a ride or die Whether you fail or fly Well shit at least you tried But when you walked out that door a piece of me died I told you I wanted more But that not what I had in mind I just want it like before We were dancin' all night Then they took you away stole you out of my life You just need to remember... I will love you till the end of time I would wait a million of years Promise you'll remember that you're mine Baby can you see through the tears? Love you more, than those bitches before Say you'll remember Oh baby, say you'll remember I will love you until the end of time</div>"
11,Cinnamon Girl,https://www.vagalume.com.br/lana-del-rey/cinnamon-girl.html,"Cinnamon in my teeth From your kiss, you're touching me All the pills that you did Violet, blue, green, red To keep me at arm's length don't work You try to push me out, but I just find my way back in Violet, blue, green, red to keep me out, I win There's things I wanna say to you But I'll just let you leave Like if you hold me without hurting me You'll be the first who ever did There's things I wanna talk about But better not to keep But if you hold me without hurting me You'll be the first who ever did Ah, ah, ah, ah, ah, ah Hold me, love me, touch me, honey Be the first who ever did Ah, ah, ah, ah, ah, ah Hold me, love me, touch me, honey Be the first who ever did Kerosene in my hands You make me mad, I'm fire again All the pills that you take Violet, blue, green, red To keep me at arm's length don't work There's things I wanna say to you But I'll just let you leave Like if you hold me without hurting me You'll be the first who ever did There's things I wanna talk about But better not to keep But if you hold me without hurting me You'll be the first who ever did Ah, ah, ah, ah, ah, ah Hold me, love me, touch me, honey Be the first who ever did Ah, ah, ah, ah, ah, ah Hold me, love me, touch me, honey Be the first who ever did There's things I wanna say to you But I'll just let you leave Like if you hold me without hurting me You'll be the first who ever did There's things I wanna talk about But better not to keep Like if you hold me without hurting me You'll be the first who ever did</div>"
12,Sad Girl,https://www.vagalume.com.br/lana-del-rey/sad-girl.html,"Being a mistress on the side It might not appeal to fools like you We've been around on the side Wanna be something you would do But you haven't seen my man You haven't seen my man You haven't seen my man You haven't seen him He's got the fire and he walks with it He's got the fire and he talks with it His Bonnie on the side, Bonnie on the side Makes me so sad girl His money on the side, money on the side Makes me so sad girl I'm a sad girl I'm a sad girl I'm a sad girl I'm a sad girl I'm a bad girl I'm a bad girl Being a bad bitch on the side It might not appeal to fools like you We've been around when he gets high It might not be something you would do But you haven't seen my man You haven't seen my man You haven't seen my man You haven't seen him He's got the fire and he walks with it He's got the fire and he talks with it His Bonnie on the side, Bonnie on the side Makes me so sad girl His money on the side, money on the side Makes me so sad girl I'm a sad girl I'm a sad girl I'm a sad girl I'm a sad girl I'm a bad girl I'm a bad girl Watch what you say to me Careful who you're talking to Watch what you say to me Careful who you're talking to I'm on fire, baby I'm on fire He's got the fire and he walks with it He's got the fire and he talks with it His Bonnie on the side, Bonnie on the side Makes me so sad girl His money on the side, money on the side Makes me so sad girl I'm a sad girl I'm a sad girl I'm a sad girl I'm a sad girl I'm a bad girl I'm a bad girl I'm a sad girl I'm a sad girl I'm a sad girl I'm a sad girl I'm a bad girl I'm a bad girl</div>"
13,Ride,https://www.vagalume.com.br/lana-del-rey/ride.html,"I've been out on that open road You can be my full time, daddy White and gold Singing blues has been getting old You can be my full time, baby Hot or cold Don't break me down I've been traveling too long I've been trying too hard With one pretty song I hear the birds on the summer breeze, I drive fast I am alone at midnight Been trying hard not to get into trouble, but I I've got a war in my mind So, I just ride, I just ride I just ride, I just ride Dying young and I'm playing hard That's the way my father made his life an art Drink all day and we talk 'til dark That's the way the road doves do it, ride 'til dark Don't leave me now Don't say goodbye Don't turn around Leave me high and dry I hear the birds on the summer breeze, I drive fast I am alone at midnight Been trying hard not to get into trouble, but I I've got a war in my mind I just ride, I just ride I just ride, I just ride I'm tired of feeling like I'm f*cking crazy I'm tired of driving 'til I see stars in my eyes It's all I've got to keep myself sane, baby So I just ride, I just ride I hear the birds on the summer breeze, I drive fast I am alone at midnight Been trying hard not to get into trouble, but I I've got a war in my mind I just ride, I just ride I just ride, I just ride</div>"
14,Chemtrails Over the Country Club,https://www.vagalume.com.br/lana-del-rey/chemtrails-over-the-country-club.html,"I'm on the run with you my sweet love There's nothing wrong, contemplating God Under the chemtrails over the country club Wearing our jewels in the swimming pool Me and my sister, just playing it cool Under the chemtrails, over the country club Take your turquoise and all of your jewels Go to the market, the kids swimming pool Baby what's your sign? My moon's in Leo, my Cancer is sun You won't play, you're no fun Well I don't care, what they think Drag racing my little red sports car I'm not unhinged or unhappy, I'm just wild I'm on the run with you my sweet love There's nothing wrong, contemplating God Under the chemtrails over the country club Wearing our jewels in the swimming pool Me and my sister, just playing it cool Under the chemtrails, over the country club Meet you for coffee At the elementary schools We'll laugh about nothing As the summer gets cool It's beautiful, how the steep Normality settles down over me I'm not bored or unhappy I'm still so strange and wild You're in the wind, I'm in the water Nobody's son, nobody's daughter Watching the chemtrails over the country club Suburbia, Barbara Road Market What to do next? Baby, we'll love it White picket chemtrails over the country club I know, I know I know, I know Washing my hair, doing the laundry Late night to be, I want you holding me Like when we were kids Under chemtrails country club It's never too late baby, so don't give up It's never too late baby, so don't give up Under the chemtrails, over the country club (You're born in the December, I'm born in June) Yeah (Under the chemtrails, over the country club) You're born in the December, I'm born in June Yeah, my Cancer is sun, and my Leo is moon My Cancer is sun, my Leo is moon Yeah, yeah, yeah, yeah Yeah, yeah, yeah</div>"
15,Dark Paradise,https://www.vagalume.com.br/lana-del-rey/dark-paradise.html,"All my friends tell me I should move on I'm lying in the ocean, singing your song (Ahhh) that's how you sang it Loving you forever can't be wrong Even though you're not here Won't move on (Ahhh) that's how we played it And there's no remedy for memory Your face is like a melody It won't leave my head Your soul is haunting me And telling me that everything is fine But I wish I was dead Every time I close my eyes It's like a dark paradise No one compares to you I'm scared that you Won't be waiting on the other side Everytime I close my eyes It's like a dark paradise No one compares to you I'm scared that you Won't be waiting on the other side All my friends ask me Why I stay strong Tell'em when you find true love it lives on Ahhh, that's why I stay here And there's no remedy for memory Your face is like a melody It won't leave my head Your soul is haunting me And telling me that everything is fine But I wish I was dead Everytime I close my eyes It's like a dark paradise No one compares to you I'm scared that you Won't be waiting on the other side Every time I close my eyes It's like a dark paradise No one compares to you But there's no you, except in my dreams tonight Oh oh oh oh, ha ha ha ha I don't wanna wake up from this tonight Oh oh oh oh, ha ha ha ha I don't wanna wake up from this tonight There's no relief, I see you in my sleep And everybody's rushing me But I can feel you touching me There's no release I feel you in my dreams Telling me I'm fine Everytime I close my eyes It's like a dark paradise No one compares to you I'm scared that you Won't be waiting on the other side Every time I close my eyes It's like a dark paradise No one compares to you But there's no you, except in my dreams tonigh Oh oh oh oh, ha ha ha ha I don't wanna wake up from this tonight Oh oh oh oh, ha ha ha ha I don't wanna wake up from this tonight</div>"
16,Happiness Is a Butterfly,https://www.vagalume.com.br/lana-del-rey/happiness-is-a-butterfly.html,"Do you want me or do you not? I heard one thing, now I'm hearing another Dropped a pin to my parking spot The bar was hot, it's 2 AM, it feels like summer Happiness is a butterfly Try to catch it, like, every night It escapes from my hands into moonlight Every day is a lullaby Hum it on the phone, like, every night Sing it for my babies on the tour life, ah If he's a serial killer, then what's the worst That can happen to a girl who's already hurt? I'm already hurt If he's as bad as they say, then I guess I'm cursed Looking into his eyes, I think he's already hurt He's already hurt I said ""Don't be a jerk, don't call me a taxi"" Sitting in your sweatshirt, crying in the backseat, ooh I just wanna dance with you Hollywood and Vine, Black Rabbit in the alley I just wanna hold you tight down the avenue I just wanna dance with you I just wanna dance with you Baby, I just wanna dance (Dance) With you (Dance) Baby, I just wanna dance (Dance) With you Left the canyon, drove to the club I was one thing, now I'm being another Laurel down to Sunset in the truck I'll pick you up if you're in town on the corner, ah Happiness is a butterfly We should catch it while dancing I lose myself in the music, baby Every day is a lullaby Try to catch it like lightning I sing it into my music, I'm crazy If he's a serial killer, then what's the worst That can happen to a girl who's already hurt? I'm already hurt If he's as bad as they say, then I guess I'm cursed Looking into his eyes, I think he's already hurt He's already hurt I said ""Don't be a jerk, don't call me a taxi"" Sitting in your sweatshirt, crying in the backseat, ooh I just wanna dance with you Hollywood and Vine, Black Rabbit in the alley I just wanna hold you tight down the avenue I just wanna dance with you I just wanna dance with you Baby, I just wanna dance (Dance) With you (Dance) Baby, I just wanna dance (Dance) With you</div>"
17,Living Legend,https://www.vagalume.com.br/lana-del-rey/living-legend.html,"Blackbirds will sing in the same key As you play in the shoes that I bought you And sweet baby Jane don't know a thing About my songs but she knows I'm a monsoon And baby you, all the things you do And the ways you move, send me straight to heaven And baby you, what you never knew What I never said, is you're my living legend Hipsters will sing just like a dream In Sin-é or the back Brooklyn bayou But you never cared about my name And darling I never meant to defy you But baby you, all them things you do And those ways you moved, send me straight to heaven And baby you, I never said to you You really are my living legend I got guns in the summertime and horses too Guns in the summertime and horses too I never meant to be bad or unwell I was just living on the edge Right between Heaven and Hell And I'm tired of it Oh, all the things you do And the ways you move, send me straight to heaven And baby you, what I never said to you 'Cause you really are my living legend Why, why, why Why, why, why! Why, why, why Why, why, why! My living legend My living legend My living legend My living legend</div>"
18,Cherry,https://www.vagalume.com.br/lana-del-rey/cherry.html,"Love I said real love, it's like feeling no fear When you're standing in the face of danger 'Cause you just want it so much A touch From your real love It's like heaven Taking the place of something evil And lettin' it burn off from the rush Yeah, yeah (fuck) Darlin', darlin', darlin' I fall to pieces when I'm with you I fall to pieces My cherries and wine, rosemary and thyme And all of my peaches (are ruined) Love, is it real love? It's like smiling When the firing squad's against you And you just stay lined up Yeah (fuck) Darlin', darlin', darlin' I fall to pieces when I'm with you I fall to pieces (bitch) My cherries and wine, rosemary and thyme And all of my peaches (are ruined) (Bitch) My rose garden dreams Set on fire by fiends And all my black beaches (are ruined) My celluloid scenes are torn at the seams And I fall to pieces (bitch) I fall to pieces when I'm with you (Why?) 'Cause I love you so much, I fall to pieces My cherries and wine, rosemary and thyme And all of my peaches (are ruined) (Bitch) (Are ruined) (Bitch) (Are ruined) (Fuck)</div>"
19,Cola,https://www.vagalume.com.br/lana-del-rey/cola.html,"My pussy tastes like Pepsi cola My eyes are wide like cherry pies I gots a taste for men who are older It's always been, so it's no surprise Ah, he's in the sky with diamonds and he's making me crazy (I come alive, alive) All he wants to do is party with his pretty baby Come on baby, let's ride We can escape to the great sunshine I know your wife and she wouldn't mind We made it out to the other side We made it out to the other side We made it out to the other side I fall asleep in an American flag I wear my diamonds on Skid Row I pledge allegiance to my dad For teaching me everything he knows Ah, he's in the sky with diamonds and he's making me crazy (I come alive, alive) All he wants to do is party with his pretty baby Come on baby, let's ride We can escape to the great sunshine I know your wife and she wouldn't mind We made it out to the other side We made it out to the other side We made it out to the other side Drugs suck it up like vanilla icys Don't treat me rough, treat me really niceys Decorate my neck Diamantes ices Oh, come on, come on Come on baby, let's ride We can escape to the great sunshine I know your wife and she wouldn't mind We made it out to the other side Come on baby, let's ride We can escape to the great sunshine We made it out to the other side We made it out to the other side Come on, come on, come on baby Come on, come on, come on baby My pussy taste like Pepsi cola My pussy taste like Pepsi cola My pussy taste like Pepsi cola</div>"
20,Doin' Time,https://www.vagalume.com.br/lana-del-rey/doin-time.html,"Summertime, and the livin's easy Bradley's on the microphone with Ras MG All the people in the dance will agree That we're well-qualified to represent the L. B. C Me, me and Louie, we gonna run to the party And dance to the rhythm, it gets harder Me and my girl, we got this relationship I love her so bad, but she treats me like shit On lockdown, like a penitentiary She spreads her lovin' all over And when she gets home, there's none left for me Summertime, and the livin's easy Bradley's on the microphone with Ras MG All the people in the dance will agree That we're well-qualified to represent the L. B. C Me, me and Louie, we gonna run to the party And dance to the rhythm, it gets harder (Harder, yeah, harder, yeah) Oh, take this veil from off my eyes My burning sun will, some day, rise So, what am I gonna be doin' for a while? Said, I'm gonna play with myself Show them, now, we've come off the shelf Summertime, and the livin's easy Bradley's on the microphone with Ras MG All the people in the dance will agree That we're well-qualified to represent the L. B. C Me, me and Louie, we gonna run to the party And dance to the rhythm, it gets harder (Harder, yeah, harder, yeah) Evil, I've come to tell you that she's evil, most definitely Evil, ornery, scandalous and evil, most definitely The tension, it's getting hotter I'd like to hold her head underwater (Summertime) (Ah, ah, ah) Summertime, and the livin's easy Bradley's on the microphone with Ras MG All the people in the dance will agree That we're well-qualified to represent the L. B. C Me, me and Louie, we gonna run to the party And dance to the rhythm, it gets harder</div>"
